始点ID,始点駅名,始点路線,終点ID,終点駅名,終点路線,営業キロ
0,浅草,銀座線,1,田原町,銀座線,0.8
1,田原町,銀座線,2,稲荷町,銀座線,0.7
2,稲荷町,銀座線,3,上野,銀座線,0.7
3,上野,銀座線,4,上野広小路,銀座線,0.5
4,上野広小路,銀座線,5,末広町,銀座線,0.6
5,末広町,銀座線,6,神田,銀座線,1.1
6,神田,銀座線,7,三越前,銀座線,0.7
7,三越前,銀座線,8,日本橋,銀座線,0.6
8,日本橋,銀座線,9,京橋,銀座線,0.7
9,京橋,銀座線,10,銀座,銀座線,0.7
10,銀座,銀座線,11,新橋,銀座線,0.9
11,新橋,銀座線,12,虎ノ門,銀座線,0.8
12,虎ノ門,銀座線,13,溜池山王,銀座線,0.6
13,溜池山王,銀座線,14,赤坂見附,銀座線,0.9
14,赤坂見附,銀座線,15,青山一丁目,銀座線,1.3
15,青山一丁目,銀座線,16,外苑前,銀座線,0.7
16,外苑前,銀座線,17,表参道,銀座線,0.7
17,表参道,銀座線,18,渋谷,銀座線,1.3
19,池袋,丸ノ内線,20,新大塚,丸ノ内線,1.8
20,新大塚,丸ノ内線,21,茗荷谷,丸ノ内線,1.2
21,茗荷谷,丸ノ内線,22,後楽園,丸ノ内線,1.8
22,後楽園,丸ノ内線,23,本郷三丁目,丸ノ内線,0.8
23,本郷三丁目,丸ノ内線,24,御茶ノ水,丸ノ内線,0.8
24,御茶ノ水,丸ノ内線,25,淡路町,丸ノ内線,0.8
25,淡路町,丸ノ内線,26,大手町,丸ノ内線,0.9
26,大手町,丸ノ内線,27,東京,丸ノ内線,0.6
27,東京,丸ノ内線,28,銀座,丸ノ内線,1.1
28,銀座,丸ノ内線,29,霞ケ関,丸ノ内線,1.0
29,霞ケ関,丸ノ内線,30,国会議事堂前,丸ノ内線,0.7
30,国会議事堂前,丸ノ内線,31,赤坂見附,丸ノ内線,0.9
31,赤坂見附,丸ノ内線,32,四ツ谷,丸ノ内線,1.3
32,四ツ谷,丸ノ内線,33,四谷三丁目,丸ノ内線,1.0
33,四谷三丁目,丸ノ内線,34,新宿御苑前,丸ノ内線,0.9
34,新宿御苑前,丸ノ内線,35,新宿三丁目,丸ノ内線,0.7
35,新宿三丁目,丸ノ内線,36,新宿,丸ノ内線,0.3
36,新宿,丸ノ内線,37,西新宿,丸ノ内線,0.8
37,西新宿,丸ノ内線,38,中野坂上,丸ノ内線,1.1
38,中野坂上,丸ノ内線,39,新中野,丸ノ内線,1.1
39,新中野,丸ノ内線,40,東高円寺,丸ノ内線,1.0
40,東高円寺,丸ノ内線,41,新高円寺,丸ノ内線,0.9
41,新高円寺,丸ノ内線,42,南阿佐ケ谷,丸ノ内線,1.2
42,南阿佐ケ谷,丸ノ内線,43,荻窪,丸ノ内線,1.5
38,中野坂上,丸ノ内線,44,中野新橋,丸ノ内線支線,1.3
44,中野新橋,丸ノ内線支線,45,中野富士見町,丸ノ内線支線,0.6
45,中野富士見町,丸ノ内線支線,46,方南町,丸ノ内線支線,1.3
47,北千住,日比谷線,48,南千住,日比谷線,2.1
48,南千住,日比谷線,49,三ノ輪,日比谷線,0.8
49,三ノ輪,日比谷線,50,入谷,日比谷線,1.2
50,入谷,日比谷線,51,上野,日比谷線,1.2
51,上野,日比谷線,52,仲御徒町,日比谷線,0.5
52,仲御徒町,日比谷線,53,秋葉原,日比谷線,1.0
53,秋葉原,日比谷線,54,小伝馬町,日比谷線,0.9
54,小伝馬町,日比谷線,55,人形町,日比谷線,0.6
55,人形町,日比谷線,56,茅場町,日比谷線,0.9
56,茅場町,日比谷線,57,八丁堀,日比谷線,0.5
57,八丁堀,日比谷線,58,築地,日比谷線,1.0
58,築地,日比谷線,59,東銀座,日比谷線,0.6
59,東銀座,日比谷線,60,銀座,日比谷線,0.4
60,銀座,日比谷線,61,日比谷,日比谷線,0.4
61,日比谷,日比谷線,62,霞ケ関,日比谷線,1.2
62,霞ケ関,日比谷線,63,虎ノ門ヒルズ,日比谷線,0.8
63,虎ノ門ヒルズ,日比谷線,64,神谷町,日比谷線,0.5
64,神谷町,日比谷線,65,六本木,日比谷線,1.5
65,六本木,日比谷線,66,広尾,日比谷線,1.7
66,広尾,日比谷線,67,恵比寿,日比谷線,1.5
67,恵比寿,日比谷線,68,中目黒,日比谷線,1.0
69,中野,東西線,70,落合,東西線,2.0
70,落合,東西線,71,高田馬場,東西線,1.9
71,高田馬場,東西線,72,早稲田,東西線,1.7
72,早稲田,東西線,73,神楽坂,東西線,1.2
73,神楽坂,東西線,74,飯田橋,東西線,1.2
74,飯田橋,東西線,75,九段下,東西線,0.7
75,九段下,東西線,76,竹橋,東西線,1.0
76,竹橋,東西線,77,大手町,東西線,1.0
77,大手町,東西線,78,日本橋,東西線,0.8
78,日本橋,東西線,79,茅場町,東西線,0.5
79,茅場町,東西線,80,門前仲町,東西線,1.8
80,門前仲町,東西線,81,木場,東西線,1.1
81,木場,東西線,82,東陽町,東西線,0.9
82,東陽町,東西線,83,南砂町,東西線,1.2
83,南砂町,東西線,84,西葛西,東西線,2.7
84,西葛西,東西線,85,葛西,東西線,1.2
85,葛西,東西線,86,浦安,東西線,1.9
86,浦安,東西線,87,南行徳,東西線,1.2
87,南行徳,東西線,88,行徳,東西線,1.5
88,行徳,東西線,89,妙典,東西線,1.3
89,妙典,東西線,90,原木中山,東西線,2.1
90,原木中山,東西線,91,西船橋,東西線,1.9
92,北綾瀬,千代田線,93,綾瀬,千代田線,2.1
93,綾瀬,千代田線,94,北千住,千代田線,2.5
94,北千住,千代田線,95,町屋,千代田線,2.6
95,町屋,千代田線,96,西日暮里,千代田線,1.7
96,西日暮里,千代田線,97,千駄木,千代田線,0.9
97,千駄木,千代田線,98,根津,千代田線,1.0
98,根津,千代田線,99,湯島,千代田線,1.2
99,湯島,千代田線,100,新御茶ノ水,千代田線,1.2
100,新御茶ノ水,千代田線,101,大手町,千代田線,1.3
101,大手町,千代田線,102,二重橋前,千代田線,0.7
102,二重橋前,千代田線,103,日比谷,千代田線,0.7
103,日比谷,千代田線,104,霞ケ関,千代田線,1.2
104,霞ケ関,千代田線,105,国会議事堂前,千代田線,0.7
105,国会議事堂前,千代田線,106,赤坂,千代田線,0.8
106,赤坂,千代田線,107,乃木坂,千代田線,1.1
107,乃木坂,千代田線,108,表参道,千代田線,1.4
108,表参道,千代田線,109,明治神宮前,千代田線,0.9
109,明治神宮前,千代田線,110,代々木公園,千代田線,1.2
110,代々木公園,千代田線,111,代々木上原,千代田線,1.0
112,和光市,有楽町線,113,地下鉄成増,有楽町線,2.2
113,地下鉄成増,有楽町線,114,地下鉄赤塚,有楽町線,1.4
114,地下鉄赤塚,有楽町線,115,平和台,有楽町線,1.8
115,平和台,有楽町線,116,氷川台,有楽町線,1.4
116,氷川台,有楽町線,117,小竹向原,有楽町線,1.5
117,小竹向原,有楽町線,118,千川,有楽町線,1.0
118,千川,有楽町線,119,要町,有楽町線,1.0
119,要町,有楽町線,120,池袋,有楽町線,1.2
120,池袋,有楽町線,121,東池袋,有楽町線,0.9
121,東池袋,有楽町線,122,護国寺,有楽町線,1.1
122,護国寺,有楽町線,123,江戸川橋,有楽町線,1.3
123,江戸川橋,有楽町線,124,飯田橋,有楽町線,1.6
124,飯田橋,有楽町線,125,市ケ谷,有楽町線,1.1
125,市ケ谷,有楽町線,126,麴町,有楽町線,0.9
126,麴町,有楽町線,127,永田町,有楽町線,0.9
127,永田町,有楽町線,128,桜田門,有楽町線,0.9
128,桜田門,有楽町線,129,有楽町,有楽町線,1.0
129,有楽町,有楽町線,130,銀座一丁目,有楽町線,0.5
130,銀座一丁目,有楽町線,131,新富町,有楽町線,0.7
131,新富町,有楽町線,132,月島,有楽町線,1.3
132,月島,有楽町線,133,豊洲,有楽町線,1.4
133,豊洲,有楽町線,134,辰巳,有楽町線,1.7
134,辰巳,有楽町線,135,新木場,有楽町線,1.5
136,渋谷,半蔵門線,137,表参道,半蔵門線,1.3
137,表参道,半蔵門線,138,青山一丁目,半蔵門線,1.4
138,青山一丁目,半蔵門線,139,永田町,半蔵門線,1.3
139,永田町,半蔵門線,140,半蔵門,半蔵門線,1.0
140,半蔵門,半蔵門線,141,九段下,半蔵門線,1.6
141,九段下,半蔵門線,142,神保町,半蔵門線,0.4
142,神保町,半蔵門線,143,大手町,半蔵門線,1.7
143,大手町,半蔵門線,144,三越前,半蔵門線,0.7
144,三越前,半蔵門線,145,水天宮前,半蔵門線,1.3
145,水天宮前,半蔵門線,146,清澄白河,半蔵門線,1.7
146,清澄白河,半蔵門線,147,住吉,半蔵門線,1.9
147,住吉,半蔵門線,148,錦糸町,半蔵門線,1.0
148,錦糸町,半蔵門線,149,押上,半蔵門線,1.4
150,目黒,南北線,151,白金台,南北線,1.3
151,白金台,南北線,152,白金高輪,南北線,1.0
152,白金高輪,南北線,153,麻布十番,南北線,1.3
153,麻布十番,南北線,154,六本木一丁目,南北線,1.2
154,六本木一丁目,南北線,155,溜池山王,南北線,0.9
155,溜池山王,南北線,156,永田町,南北線,0.9
156,永田町,南北線,157,四ツ谷,南北線,1.3
157,四ツ谷,南北線,158,市ケ谷,南北線,1.0
158,市ケ谷,南北線,159,飯田橋,南北線,1.1
159,飯田橋,南北線,160,後楽園,南北線,1.4
160,後楽園,南北線,161,東大前,南北線,1.3
161,東大前,南北線,162,本駒込,南北線,0.9
162,本駒込,南北線,163,駒込,南北線,1.4
163,駒込,南北線,164,西ケ原,南北線,1.4
164,西ケ原,南北線,165,王子,南北線,1.0
165,王子,南北線,166,王子神谷,南北線,1.2
166,王子神谷,南北線,167,志茂,南北線,1.6
167,志茂,南北線,168,赤羽岩淵,南北線,1.1
169,小竹向原,副都心線,170,千川,副都心線,1.0
170,千川,副都心線,171,要町,副都心線,1.0
171,要町,副都心線,172,池袋,副都心線,1.2
172,池袋,副都心線,173,雑司が谷,副都心線,1.8
173,雑司が谷,副都心線,174,西早稲田,副都心線,1.5
174,西早稲田,副都心線,175,東新宿,副都心線,0.9
175,東新宿,副都心線,176,新宿三丁目,副都心線,1.1
176,新宿三丁目,副都心線,177,北参道,副都心線,1.4
177,北参道,副都心線,178,明治神宮前,副都心線,1.2
178,明治神宮前,副都心線,179,渋谷,副都心線,1.0
