駅ID,駅名,路線,駅グループ
0,浅草,銀座線,浅草
1,田原町,銀座線,田原町
2,稲荷町,銀座線,稲荷町
3,上野,銀座線,上野
4,上野広小路,銀座線,上野広小路/仲御徒町
5,末広町,銀座線,末広町
6,神田,銀座線,神田
7,三越前,銀座線,三越前
8,日本橋,銀座線,日本橋
9,京橋,銀座線,京橋
10,銀座,銀座線,銀座/銀座一丁目
11,新橋,銀座線,新橋
12,虎ノ門,銀座線,虎ノ門/虎ノ門ヒルズ
13,溜池山王,銀座線,溜池山王/国会議事堂前
14,赤坂見附,銀座線,赤坂見附/永田町
15,青山一丁目,銀座線,青山一丁目
16,外苑前,銀座線,外苑前
17,表参道,銀座線,表参道
18,渋谷,銀座線,渋谷
19,池袋,丸ノ内線,池袋
20,新大塚,丸ノ内線,新大塚
21,茗荷谷,丸ノ内線,茗荷谷
22,後楽園,丸ノ内線,後楽園
23,本郷三丁目,丸ノ内線,本郷三丁目
24,御茶ノ水,丸ノ内線,御茶ノ水
25,淡路町,丸ノ内線,淡路町/新御茶ノ水
26,大手町,丸ノ内線,大手町
27,東京,丸ノ内線,東京
28,銀座,丸ノ内線,銀座/銀座一丁目
29,霞ケ関,丸ノ内線,霞ケ関
30,国会議事堂前,丸ノ内線,溜池山王/国会議事堂前
31,赤坂見附,丸ノ内線,赤坂見附/永田町
32,四ツ谷,丸ノ内線,四ツ谷
33,四谷三丁目,丸ノ内線,四谷三丁目
34,新宿御苑前,丸ノ内線,新宿御苑前
35,新宿三丁目,丸ノ内線,新宿三丁目
36,新宿,丸ノ内線,新宿
37,西新宿,丸ノ内線,西新宿
38,中野坂上,丸ノ内線,中野坂上
39,新中野,丸ノ内線,新中野
40,東高円寺,丸ノ内線,東高円寺
41,新高円寺,丸ノ内線,新高円寺
42,南阿佐ケ谷,丸ノ内線,南阿佐ケ谷
43,荻窪,丸ノ内線,荻窪
44,中野新橋,丸ノ内線支線,中野新橋
45,中野富士見町,丸ノ内線支線,中野富士見町
46,方南町,丸ノ内線支線,方南町
47,北千住,日比谷線,北千住
48,南千住,日比谷線,南千住
49,三ノ輪,日比谷線,三ノ輪
50,入谷,日比谷線,入谷
51,上野,日比谷線,上野
52,仲御徒町,日比谷線,上野広小路/仲御徒町
53,秋葉原,日比谷線,秋葉原
54,小伝馬町,日比谷線,小伝馬町
55,人形町,日比谷線,人形町/水天宮前
56,茅場町,日比谷線,茅場町
57,八丁堀,日比谷線,八丁堀
58,築地,日比谷線,築地/新富町
59,東銀座,日比谷線,東銀座
60,銀座,日比谷線,銀座/銀座一丁目
61,日比谷,日比谷線,日比谷/有楽町
62,霞ケ関,日比谷線,霞ケ関
63,虎ノ門ヒルズ,日比谷線,虎ノ門/虎ノ門ヒルズ
64,神谷町,日比谷線,神谷町
65,六本木,日比谷線,六本木
66,広尾,日比谷線,広尾
67,恵比寿,日比谷線,恵比寿
68,中目黒,日比谷線,中目黒
69,中野,東西線,中野
70,落合,東西線,落合
71,高田馬場,東西線,高田馬場
72,早稲田,東西線,早稲田
73,神楽坂,東西線,神楽坂
74,飯田橋,東西線,飯田橋
75,九段下,東西線,九段下
76,竹橋,東西線,竹橋
77,大手町,東西線,大手町
78,日本橋,東西線,日本橋
79,茅場町,東西線,茅場町
80,門前仲町,東西線,門前仲町
81,木場,東西線,木場
82,東陽町,東西線,東陽町
83,南砂町,東西線,南砂町
84,西葛西,東西線,西葛西
85,葛西,東西線,葛西
86,浦安,東西線,浦安
87,南行徳,東西線,南行徳
88,行徳,東西線,行徳
89,妙典,東西線,妙典
90,原木中山,東西線,原木中山
91,西船橋,東西線,西船橋
92,北綾瀬,千代田線,北綾瀬
93,綾瀬,千代田線,綾瀬
94,北千住,千代田線,北千住
95,町屋,千代田線,町屋
96,西日暮里,千代田線,西日暮里
97,千駄木,千代田線,千駄木
98,根津,千代田線,根津
99,湯島,千代田線,湯島
100,新御茶ノ水,千代田線,淡路町/新御茶ノ水
101,大手町,千代田線,大手町
102,二重橋前,千代田線,二重橋前
103,日比谷,千代田線,日比谷/有楽町
104,霞ケ関,千代田線,霞ケ関
105,国会議事堂前,千代田線,溜池山王/国会議事堂前
106,赤坂,千代田線,赤坂
107,乃木坂,千代田線,乃木坂
108,表参道,千代田線,表参道
109,明治神宮前,千代田線,明治神宮前
110,代々木公園,千代田線,代々木公園
111,代々木上原,千代田線,代々木上原
112,和光市,有楽町線,和光市
113,地下鉄成増,有楽町線,地下鉄成増
114,地下鉄赤塚,有楽町線,地下鉄赤塚
115,平和台,有楽町線,平和台
116,氷川台,有楽町線,氷川台
117,小竹向原,有楽町線,小竹向原
118,千川,有楽町線,千川
119,要町,有楽町線,要町
120,池袋,有楽町線,池袋
121,東池袋,有楽町線,東池袋
122,護国寺,有楽町線,護国寺
123,江戸川橋,有楽町線,江戸川橋
124,飯田橋,有楽町線,飯田橋
125,市ケ谷,有楽町線,市ケ谷
126,麴町,有楽町線,麴町
127,永田町,有楽町線,赤坂見附/永田町
128,桜田門,有楽町線,桜田門
129,有楽町,有楽町線,日比谷/有楽町
130,銀座一丁目,有楽町線,銀座/銀座一丁目
131,新富町,有楽町線,築地/新富町
132,月島,有楽町線,月島
133,豊洲,有楽町線,豊洲
134,辰巳,有楽町線,辰巳
135,新木場,有楽町線,新木場
136,渋谷,半蔵門線,渋谷
137,表参道,半蔵門線,表参道
138,青山一丁目,半蔵門線,青山一丁目
139,永田町,半蔵門線,赤坂見附/永田町
140,半蔵門,半蔵門線,半蔵門
141,九段下,半蔵門線,九段下
142,神保町,半蔵門線,神保町
143,大手町,半蔵門線,大手町
144,三越前,半蔵門線,三越前
145,水天宮前,半蔵門線,人形町/水天宮前
146,清澄白河,半蔵門線,清澄白河
147,住吉,半蔵門線,住吉
148,錦糸町,半蔵門線,錦糸町
149,押上,半蔵門線,押上
150,目黒,南北線,目黒
151,白金台,南北線,白金台
152,白金高輪,南北線,白金高輪
153,麻布十番,南北線,麻布十番
154,六本木一丁目,南北線,六本木一丁目
155,溜池山王,南北線,溜池山王/国会議事堂前
156,永田町,南北線,赤坂見附/永田町
157,四ツ谷,南北線,四ツ谷
158,市ケ谷,南北線,市ケ谷
159,飯田橋,南北線,飯田橋
160,後楽園,南北線,後楽園
161,東大前,南北線,東大前
162,本駒込,南北線,本駒込
163,駒込,南北線,駒込
164,西ケ原,南北線,西ケ原
165,王子,南北線,王子
166,王子神谷,南北線,王子神谷
167,志茂,南北線,志茂
168,赤羽岩淵,南北線,赤羽岩淵
169,小竹向原,副都心線,小竹向原
170,千川,副都心線,千川
171,要町,副都心線,要町
172,池袋,副都心線,池袋
173,雑司が谷,副都心線,雑司が谷
174,西早稲田,副都心線,西早稲田
175,東新宿,副都心線,東新宿
176,新宿三丁目,副都心線,新宿三丁目
177,北参道,副都心線,北参道
178,明治神宮前,副都心線,明治神宮前
179,渋谷,副都心線,渋谷
